"","abberation","OR","p_value","n","frac","frac_other","cluster","p_adj","log_p_adj","log_p_adj_abs","frac_adj","sign","sign2"
"104","GATA2, MECOM",60.5855070637299,3.73399713990254e-11,12,0.100840336134454,0.00183318056828598,"AML-MRC(4)",1.86699856995127e-09,3,3,0.100840336134454,"","."
"105","add5q",15.0448311178245,7.77191601203643e-06,8,0.0784313725490196,0.00559284116331096,"AML-MRC(4)",0.000153630897912348,3,3,0.0784313725490196,"","."
"106","-2",3.22500578824425,0.00522988379528056,9,0.128571428571429,0.0436802973977695,"AML-MRC(3)",0.0380996855379255,1.41907860883113,1.41907860883113,0.128571428571429,"*",""
"107","RUNX1",2.6501743316937,0.0031296687831105,15,0.217391304347826,0.0947741364038973,"AML-MRC(3)",0.0255855441853176,1.59200534147603,1.59200534147603,0.217391304347826,"*",""
"108","-16",4.52273729226792,0.00268561717707354,7,0.112903225806452,0.0273003033367037,"AML-MRC(3)",0.0230583292981062,1.63717216290857,1.63717216290857,0.112903225806452,"*",""
"109","-17/17p",3.41739451890429,0.00236275487754483,10,0.142857142857143,0.0464285714285714,"AML-MRC(3)",0.0210297554545875,1.67716577749631,1.67716577749631,0.142857142857143,"*",""
"110","-12p",7.41729140077887,0.00190001252319817,5,0.0714285714285714,0.0102230483271375,"AML-MRC(3)",0.0179054207595741,1.74701546904391,1.74701546904391,0.0714285714285714,"*",""
"111","TP53",2.95188290040396,0.0015079876338331,14,0.205882352941176,0.0806302131603336,"AML-MRC(3)",0.0146490227286644,1.83419134716688,1.83419134716688,0.205882352941176,"*",""
"112","+8/8q",2.79973898569177,0.00116542159020051,17,0.242857142857143,0.102678571428571,"AML-MRC(3)",0.0120073739596416,1.92055196341642,1.92055196341642,0.242857142857143,"*",""
"113","-1",3.09581105801408,0.000721813068257149,15,0.214285714285714,0.0808550185873606,"AML-MRC(3)",0.0080729093160339,2.09296992597159,2.09296992597159,0.214285714285714,"","."
"114","-21",6.14426158971331,0.000616745609410798,7,0.112903225806452,0.0202224469160768,"AML-MRC(3)",0.00703669487247219,2.15263128058759,2.15263128058759,0.112903225806452,"","."
"115","+1",3.09113813654882,0.000525396828343758,16,0.228571428571429,0.087360594795539,"AML-MRC(3)",0.00620260144572492,2.2074261239589,2.2074261239589,0.228571428571429,"","."
"116","-7/7q",3.44669559453458,0.000270285546869766,15,0.214285714285714,0.0732142857142857,"AML-MRC(3)",0.00350752236395879,2.45499955122963,2.45499955122963,0.214285714285714,"","."
"117","+13",6.48726055697174,0.000194783809444138,8,0.129032258064516,0.0222446916076845,"AML-MRC(3)",0.002607342331142,2.58380194437231,2.58380194437231,0.129032258064516,"","."
"118","MRC cytogenetics",3.93916781963513,3.7029391766944e-08,42,0.575342465753425,0.255645889792231,"AML-MRC(3)",1.18773520761896e-06,3,3,0.575342465753425,"","."
"119","MRC genes",9.59695314388269,5.3612685342721e-19,47,0.643835616438356,0.158123370981755,"AML-MRC(3)",5.3612685342721e-17,3,3,0.643835616438356,"","."
"120","ASXL1",11.5025335032141,1.08159661764715e-15,28,0.405797101449275,0.0558015943312666,"AML-MRC(3)",7.9944097826094e-14,3,3,0.405797101449275,"","."
"121","SRSF2",8.25587950535706,4.30833145908129e-10,20,0.289855072463768,0.0469441984056687,"AML-MRC(3)",1.83104087010955e-08,3,3,0.289855072463768,"","."
"122","STAG2",8.63271756985083,9.87908658097823e-09,16,0.231884057971014,0.0336581045172719,"AML-MRC(3)",3.3588894375326e-07,3,3,0.231884057971014,"","."
"123","add14q",14.7927403116553,0.00485278382395444,3,0.075,0.00538599640933573,"AML-MRC(2)",0.0363424339238878,1.43958599050302,1.43958599050302,0.075,"*",""
"124","-3",6.11725360002411,0.00349617585418682,5,0.0793650793650794,0.0138504155124654,"AML-MRC(2)",0.0280353724156491,1.55229367045591,1.55229367045591,0.0793650793650794,"*",""
"125","+21",3.99172058966543,0.00263300463278455,8,0.126984126984127,0.0350877192982456,"AML-MRC(2)",0.0228420399281561,1.64126511364943,1.64126511364943,0.126984126984127,"*",""
